step,lr,train_loss,train_acc,val_acc,val_loss
0,0.0005426,2.558160,13.2812,,
1,0.0005425999475185777,2.210248,25.7812,,
2,0.0005425997900743315,2.007661,31.2500,,
3,0.0005425995276673237,1.801485,42.1875,,
4,0.0005425991602976578,1.548872,52.3438,,
5,0.0005425986879654789,1.622252,48.4375,,
6,0.0005425981106709732,1.356494,56.2500,,
7,0.0005425974284143689,1.372936,53.1250,,
8,0.0005425966411959353,1.234363,61.7188,,
9,0.0005425957490159831,1.340866,53.1250,,
10,0.0005425947518748645,1.078699,68.7500,,
11,0.0005425936497729733,1.077136,70.3125,,
12,0.0005425924427107445,1.002322,72.6562,,
13,0.0005425911306886546,0.950513,75.0000,,
14,0.0005425897137072216,0.985074,71.8750,,
15,0.0005425881917670049,1.040226,64.8438,,
16,0.0005425865648686053,0.973077,72.6562,,
17,0.0005425848330126652,0.905930,73.4375,,
18,0.000542582996199868,0.871397,75.7812,,
19,0.0005425810544309393,0.710743,83.5938,,
20,0.0005425790077066454,0.757185,77.3438,,
21,0.0005425768560277943,0.771481,79.6875,,
22,0.0005425745993952355,0.785803,75.7812,,
23,0.00054257223780986,0.811735,76.5625,,
24,0.0005425697712725998,0.658697,78.9062,,
25,0.000542567199784429,0.631450,84.3750,,
26,0.0005425645233463626,0.692181,82.0312,,
27,0.0005425617419594573,0.788027,78.1250,,
28,0.0005425588556248111,0.772751,75.0000,,
29,0.0005425558643435633,0.617856,84.3750,,
30,0.0005425527681168951,0.662294,82.8125,,
31,0.0005425495669460288,0.545360,85.9375,,
32,0.0005425462608322281,0.526251,89.8438,,
33,0.0005425428497767981,0.623194,83.5938,,
34,0.0005425393337810856,0.627911,82.0312,,
35,0.0005425357128464787,0.577440,80.4688,,
36,0.0005425319869744067,0.457351,86.7188,,
37,0.0005425281561663405,0.563692,83.5938,,
38,0.0005425242204237927,0.508393,86.7188,,
39,0.0005425201797483167,0.628523,82.0312,,
40,0.000542516034141508,0.461296,87.5000,,
41,0.0005425117836050032,0.369919,90.6250,,
42,0.0005425074281404802,0.450893,85.1562,,
43,0.0005425029677496586,0.492464,83.5938,,
44,0.0005424984024342992,0.382602,89.0625,,
45,0.0005424937321962043,0.333266,89.0625,,
46,0.0005424889570372176,0.382672,87.5000,,
