step,lr,train_loss,train_acc,val_acc,val_loss
118,0.0009790802423532566,0.471444,85.9375,88.6300,0.425861
119,0.0009790577892628519,0.453173,85.9375,88.6300,0.425861
120,0.0009790351470495978,0.489988,83.9844,88.6300,0.425861
121,0.0009790123157224335,0.603875,80.4688,88.6300,0.425861
122,0.000978989295290372,0.480019,80.0781,88.6300,0.425861
123,0.0009789660857625017,0.422976,87.8906,88.6300,0.425861
124,0.000978942687147985,0.505404,85.5469,88.6300,0.425861
125,0.00097891909945606,0.547739,82.4219,88.6300,0.425861
126,0.0009788953226960377,0.444551,87.8906,88.6300,0.425861
127,0.0009788713568773058,0.441351,87.8906,88.6300,0.425861
128,0.000978847202009325,0.430073,87.5000,88.6300,0.425861
129,0.0009788228581016315,0.395010,86.7188,88.6300,0.425861
130,0.0009787983251638359,0.512473,83.9844,88.6300,0.425861
131,0.0009787736032056233,0.534183,81.6406,88.6300,0.425861
132,0.0009787486922367536,0.638596,80.8594,88.6300,0.425861
133,0.0009787235922670613,0.427472,87.8906,88.6300,0.425861
134,0.0009786983033064555,0.485307,84.7656,88.6300,0.425861
135,0.0009786728253649195,0.414115,90.6250,88.6300,0.425861
136,0.0009786471584525122,0.436849,85.1562,88.6300,0.425861
137,0.0009786213025793661,0.529621,85.1562,88.6300,0.425861
138,0.000978595257755689,0.498461,86.7188,88.6300,0.425861
139,0.0009785690239917624,0.381994,87.8906,88.6300,0.425861
140,0.0009785426012979435,0.439685,87.8906,88.6300,0.425861
141,0.0009785159896846633,0.454818,88.2812,88.6300,0.425861
142,0.0009784891891624278,0.388651,88.2812,88.6300,0.425861
143,0.0009784621997418175,0.407987,85.5469,88.6300,0.425861
144,0.0009784350214334873,0.417886,86.3281,88.6300,0.425861
145,0.0009784076542481664,0.460124,87.1094,88.6300,0.425861
146,0.0009783800981966594,0.489589,86.3281,88.6300,0.425861
147,0.000978352353289845,0.487458,84.7656,88.6300,0.425861
148,0.000978324419538676,0.487438,83.9844,88.6300,0.425861
149,0.0009782962969541807,0.498807,84.3750,88.6300,0.425861
150,0.0009782679855474612,0.455395,87.8906,88.6300,0.425861
151,0.0009782394853296945,0.404214,88.2812,88.6300,0.425861
152,0.0009782107963121319,0.454079,85.5469,88.6300,0.425861
153,0.0009781819185060996,0.409587,84.7656,88.6300,0.425861
154,0.0009781528519229978,0.545454,83.5938,88.6300,0.425861
155,0.0009781235965743017,0.579738,79.6875,88.6300,0.425861
156,0.0009780941524715609,0.418819,85.1562,88.6300,0.425861
157,0.0009780645196263993,0.443190,87.1094,88.6300,0.425861
158,0.0009780346980505156,0.462464,85.1562,88.6300,0.425861
159,0.000978004687755683,0.405830,87.8906,88.6300,0.425861
160,0.0009779744887537488,0.400997,85.1562,88.6300,0.425861
161,0.0009779441010566352,0.434033,87.5000,88.6300,0.425861
162,0.0009779135246763388,0.443994,84.7656,88.6300,0.425861
163,0.0009778827596249307,0.527823,82.8125,88.6300,0.425861
164,0.0009778518059145565,0.448043,87.5000,88.6300,0.425861
165,0.0009778206635574361,0.366939,86.7188,88.6300,0.425861
166,0.0009777893325658641,0.372816,89.0625,88.6300,0.425861
167,0.0009777578129522096,0.502545,85.5469,88.6300,0.425861
168,0.0009777261047289158,0.402979,87.5000,88.6300,0.425861
169,0.0009776942079085006,0.379125,87.8906,88.6300,0.425861
170,0.0009776621225035568,0.365851,89.4531,88.6300,0.425861
171,0.0009776298485267506,0.427885,87.5000,88.6300,0.425861
172,0.0009775973859908235,0.366610,89.4531,88.6300,0.425861
173,0.0009775647349085914,0.400212,88.2812,88.6300,0.425861
174,0.0009775318952929442,0.346193,87.8906,88.6300,0.425861
175,0.0009774988671568466,0.454204,83.9844,88.6300,0.425861
176,0.0009774656505133375,0.437817,85.9375,88.6300,0.425861
177,0.00097743224537553,0.424931,87.5000,88.6300,0.425861
178,0.0009773986517566126,0.391516,90.6250,88.6300,0.425861
179,0.000977364869669847,0.363523,87.5000,88.6300,0.425861
180,0.00097733089912857,0.575399,82.8125,88.6300,0.425861
